Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
GABRG3	MAOA	LINC00351	AC104035.1	AC004828.1	AC174469.1	AC068025.2	LINC02356	CATSPERB	LINC00366	AL356019.2	RB1-DT	EML5	AC068875.1	TULP2	AC005280.2	NAGA	AC125793.1	ACSS3	PARP4	CRYL1	SLC4A1		AC009054.2	U95743.1	FXR2	AC004158.1	MYO15A	TRPV3	TMEM11	C17orf97	AC006213.3	BTBD17		AC007785.3		C16orf96	C17orf53	DNAJB1	SPRED3	ZNF536	FDX2	AC008761.1	ZNF829	FCHO1	C20orf197	MOCOS	PLPP2	DSC3	RAB3A	ARSE	VN1R1		NECAB2	AP000897.2	ARHGEF18	GRIN2D	TMEM221		C19orf53	LINC01801	CFD				AC005332.6	SKA1	DNASE2	CBFB		PLCG2	AC114689.3	CCDC160	AC010931.2	THBS1	SKOR1	PLEKHG4	AC010999.2	LINC02192	SEZ6	CYP2S1	AC005972.3	ABCD1	PNMT	AC004974.1	LINC00924	C16orf71	LGALS9	AC006504.1	AC010931.2	AC129492.4
GABRG3-AS1	DIPK2B	GPC5	AC015574.1	DPF3	APBA2	TP53I13	AC073575.1	AL121839.2	VWA8	AL355922.4	SERPINE3	AL357093.1	AC116158.2	DKKL1	AC005280.1	NFAM1	AC009142.1	AC078955.1	AMER2	IL17D	AC103703.1		AC009139.2	AC130650.2	KDM6B	CLEC18B	SMCR8	AC116914.2	NATD1	AC015853.3	ZNF221	GRIN2C		AC007785.1		C16orf89	ASB16-AS1	SYDE1	FAM98C	AC011478.1	SWSAP1	KCNN1	AC010632.1	AC005759.1	MIR646HG	MIR924HG	MATK	DSG2	IQCN	GPR143	ZNF772		ATP2C2-AS1	AP000897.1	CAMSAP3	GRWD1	NIBAN3		FAM32A	RBM42	AC027307.3				AC005332.4	POLI	SYCE2	AC027682.1		AC099506.1	AC022655.1	RTL8B	NEIL1	PLCB2	AC107871.2	LRRC36	AC092757.3	ABCC11	AC104564.5	LYPD5	AC006270.1	ARHGAP4	TOP2A	DNAL1	AC024337.2	NAGPA-AS1	RAB34	ZNF536	CYP11A1	AURKB
AC144833.1	AC136489.1	AL162456.1	AC087762.1	AC005280.2	AC127522.1	AC104564.3	AC073863.1	UNC79	VWA8-AS1	TRAJ55	LINC00393	PPP4R4	AC022196.1	SLC17A7	AC016526.1	Z93241.1	AC009063.3	AC089998.4	LINC02340	LINC00621	FZD2		AC010531.5	NPIPA3	CHD3	AC099508.2	FAM106A	AC004771.4	KSR1	TLCD2	AC021092.1	AC016168.4		IGFL2		AC074051.5	KIF18B	ILVBL	RYR1	TSHZ3	EPOR	AC005759.1	ZNF570	TMEM59L	HAR1A	AC011139.1	PLIN4	AC009831.3	UBA52	AC073529.1	ZNF530		C16orf95	AP001094.2	XAB2	DBP	IQCN		AC008764.8	AC002116.2	AC027307.1				ABCA8	C18orf54	AC092069.1	LCAT		NECAB2	LINC01903	RTL8C	CHRNA5	AC020658.5	AC087639.2	AC027682.6	AC037433.1	AC007610.5	AC127024.2	AC092301.1	AC015923.1	RENBP	RND2	AC005520.2	LUNAR1	ALG1	TLCD1	AC011478.1	CPLX3	AC135178.4
AC104002.3	MIR222HG	GPC5-AS2	PRR35	AC005280.1	LINC02249	AC104982.2	LINC02463	ASB2	DGKH	TRAJ34	MYCBP2-AS1	TUNAR	PAK6	AKT1S1	CIPC	PARVG	AC009063.2	AC091214.1	FRY-AS1	AL157931.1	DBF4B		AC138512.1	NPIPA2	RNF227	CHST5	FBXW10	ZFP3	AC069366.2	TRPV3	AC243964.3	AC111170.1		AC006262.2		ABAT	PLCD3	AC004257.1	EIF3K	LINC01801	ZNF491	AC005253.1	ZNF571-AS1	KLHL26	FAM243B	PSTPIP2	AC011444.2	MEP1B	YJEFN3	ARHGAP6	AC020915.2		AC092720.1	GNAL	PRR36	TRPM4	PGPEP1		MED26	CLIP3	ZNF554				KCNJ16	AC090771.2	DAND5	SLC12A4		SLC38A8	AC100844.1	AL136169.1	CHRNA3	SPINT1-AS1	AC026992.1	AC126773.3	AC103691.1	NKD1	AC127024.6	IGFL4	AC005828.3	IRAK1	KIF18B	ALDH6A1	TTC23	AC074051.5	PIPOX	FAAP24	LINGO1	NTN1
LINC02249	TIMP1	GPC5-IT1	NHLRC4	ACOT1	MTMR10	ATAD5	LINC02457	AL137786.1	AL157932.1	TRAC	SLAIN1	AMN	AC020658.3	IL4I1	TMEM63C	LINC00899	AC009119.1	LRRIQ1	SOHLH2	SGCG	GJC1		AC092384.1	NPIPA5	HES7	CDH13	AC107982.3	AC004148.1	LYRM9	AC027796.4	PVR	LGALS3BP		IGFL2-AS1		AC022167.2	MAP3K14-AS1	HAUS8	CAPN12	AC008555.1	ZNF791	KLHL26	AC093227.1	TMEM161A	FP236383.3	ZBTB7C	KANK2	MOCOS	C19orf12	PRPS2	ZNF837		MVD	LDLRAD4-AS1	SNAPC2	AC010624.1	LPAR2		AC008764.2	ZNF565	AC005786.3				CASC17	CDH20	NFIX	VAC14-AS1		WFDC1	AC068112.1	SMIM10L2B	CHRNB4	SPINT1	AC104938.1	AC126773.6	MEGF11	AC007608.3	AC005899.7	AC007193.1	AC103810.2	TKTL1	C1QL1	ZC2HC1C	AC090825.1	LINC01570	AC068025.2	RHPN2	LINGO1-AS1	AC005695.1
CHRFAM7A	AC244636.3	AL356737.2	FBXL16	AC005225.2	GOLGA8O	AC130324.2	NOS1	CYP46A1	AL162713.2	AP1G2	POU4F1	AL138976.2	AC020661.4	POLD1	ZDHHC22	AL118516.1	SLC38A8	RASSF9	CCDC169	MIPEP	KIF18B		AC092120.3	NPIPA9	CTC1	AC099506.1	RNF112	ALOX12	ALDOC	P2RX5	GIPR	RBFOX3		C5AR1		CARHSP1	LRRC46	AC020908.1	RINL	AC008555.2	HOOK2	LPAR2	AC093227.3	AC010300.1	CR381653.1	LIPG	DOCK6	FHOD3	AC005597.1	SCML2	MZF1-AS1		SNAI3	AP005131.7	CTXN1	AC010624.5	ZNF98		AC024075.2	ZNF146	MIR7-3HG				AC007432.1	AC105094.2	C19orf57	AC009097.2		ATP2C2-AS1	AC005909.2	SMIM10L2A	AC011944.1	AC020661.2	AC022872.1	AC009137.1	AC087482.1	NOD2	CDK5R1	AC093503.1	AC007448.5	DNASE1L1	MAP3K14-AS1	TTLL5	AC023024.1	TMEM186	AC068025.1	ZNF30-AS1	ADAMTS7	USP43
AC091057.6	SLC38A5	GPC5-AS1	SSTR5-AS1	ACOT4	AC055874.1	AC130324.1	AC131238.1	AL160313.2	CCDC122	JPH4	RBM26-AS1	LINC00637	SPTBN5	FAM71E1	AL136040.1	TBC1D22A	AC040169.3	AC024941.2	SMAD9	SPATA13	C1QL1		AC015853.3	AC002550.2	NDEL1	AC125793.1	CCDC144NL	SLC16A13	PROCA1	AC116914.2	PGLYRP1	AC233701.1		AC073548.2		LINC02177	SKAP1	OCEL1	CCER2	AC008555.4	MAST1	GMIP	DPF1	AC007786.4	C21orf91-OT1	LINC01630	CCDC159	LINC01478	CHST8	POLA1	ZCCHC3		AC137932.3	ANKRD30B	TIMM44	SYT3	AC010300.1		NR2F6	ZNF260	AC005523.2				SOX9	BCL2	ASF1B	MARVELD3		MEAK7	AC005909.1	MMGT1	AC015871.4	INO80-AS1	REC114	AC009060.1	AAGAB	CYLD	AC079336.5	BBC3	ROCR	GAB3	AC002558.2	AF107885.2	PCSK6	AC007218.1	AC116407.2	TMEM147-AS1	RASGRF1	TMEM220
ARHGAP11B	GATA1	LINC00363	AC120498.10	VRTN	RYR3	AC130324.3	SRRM4	AL157871.6	AL512506.1	CARMIL3	LINC01068	AL132712.1	STRC	KLK14	AL512791.2	AL008720.1	AC010536.1	LINC02397	SMAD9-IT1	AL445985.1	PLCD3		NXN	AC002550.1	AC005410.2	WFDC1	CCDC144NL-AS1	TNK1	TIAF1	ATP2A3	AC007785.1	TBC1D16		CA11		GRIN2A	AC091133.4	LSM4	SERTAD3	GRAMD1A	NFIX	ZNF93	SPRED3	AC011474.1	LINC01683	FECH	CCDC151	AC120349.1	SCN1B	AL592043.1	FAM110A		CPNE7	AC090912.1	FBN3	KLK10	LINC00906		KCNN1	ZNF345	TINCR				LINC02003	CCDC102B	AC008569.2	AC009097.1		JPH3	ZADH2	SLC9A6	TMC3-AS1	EXD1	NPTN	AC009053.3	C15orf61	TOX3	AC079336.2	C5AR1	SSTR2	MPP1	AC018521.5	SAMD15	RHBDF1	GRIN2A	RHBDL3	KIRREL2	AC011944.1	TMEM220-AS1
MTMR10	MSN	GPC6	AL031705.1	LTBP2	AC010809.3	AC003101.1	AC084361.1	BEGAIN	LACC1	AL136295.17	AL136442.1	KIF26A	AC011330.2	VSIG10L	LINC00642	TYMP	ZNF469	AC073655.2	LINC00366	LINC02340	AC091132.1		AC087392.2	GPR139	AC005703.4	ATP2C2	KCNJ12	AC005695.2	AC024619.3	PIMREG	IGFL2-AS1	AC087741.1		IZUMO1		AC133565.1	NGFR	SUGP2	EGLN2	AC002116.2	IL27RA	ZNF737	RYR1	VSTM2B	AP000229.1	AC027097.2	ZNF442	ZBTB7C	ETV2	NDP	AL117335.1		GAS8	ANKRD29	ADAMTS10	CLDND2	FXYD7		ZNF493	AC010632.2	AC011471.2				SDK2	AC068473.5	NOTCH3	TXNL4B		AC134312.1	TSHZ1	HTATSF1	AC060809.1	ITPKA	NPTN-IT1	CNTNAP4	SKOR1	IRX3	ASIC2	SLC8A2	CPSF4L	AC011751.1	TAC4	TSHR	Z69666.1	AC007218.2	TMEM132E	ALKBH6	ANKRD34C-AS1	HS3ST3A1
GOLGA8O	STARD8	GPC6-AS2	MSRB1	AL049780.2	AC010809.2	AC011824.1	BICDL1	MEG3	AL138960.1	AL136295.6	AL158064.1	AL583810.2	CKMT1A	AC008750.4	RPS6KA5	U62317.4	CDT1	CEP83	FREM2	AL136439.1	AC091132.4		AC087392.1	AC092375.2	CDRT4	ATP2C2-AS1	UNC119	AC087501.4	ABHD15-AS1	TEKT1	AC006262.1	AC027601.4		TRPM4		LINC01290	AC015795.1	AC002306.1	DEDD2	CAPNS1	AC005776.2	AC123912.4	CAPN12	WTIP	TCP10L	ATP8B1	SLC1A6	LIPG	AF038458.3	LINC01560	SIRPA		DOC2B	TTC39C	OLFM2	PRKCG	APLP1		LINC00664	ZNF570	SLC25A41				AC100786.1	AC090360.1	C19orf44	PMFBP1		AC116552.1	AC116003.1	LDOC1	AC023034.1	LTK	LOXL1-AS1	LINC02125	ITGA11	CRNDE	AC024614.4	C19orf73	RPL38	AC011043.2	DLX4	AC007262.2	WDR90	AC133565.1	SLFN11	ZNF790	TMED3	HS3ST3B1
LINC02256	DGAT2L6	GPC6-AS1	RPL3L	AC007686.3	ACTC1	AC004147.2	B3GNT4	AL118558.4	SIAH3	TGM1	AL137781.1	GABRG3	AC091074.3	C19orf84	GPR68	CSF2RA	AC092384.3	TMCC3	FREM2-AS1	LINC00427	AC126544.2		AC144836.1	NPIPB6	TBC1D26	CRISPLD2	DHRS13	TMEM220-AS1	SSH2	TNK1	PNMA8B	AC139530.3		AC010624.1		EMP2	EME1	ZNF90	ZNF223	KCNK6	AC024075.2	ZNF208	RINL	LINC01801	CBR3	PMAIP1	LINC00664	LINC01630	SDHAF1	TIMP1	ADAM33		RTN4RL1	AC090772.2	RAVER1	TFPT	SYNE4		AC073534.2	ZNF571-AS1	TRIP10				DNAI2	IZUMO4	AC024075.3	LINC01572		MVD	SMIM21	SLITRK4	AC022558.2	SPTBN5	LOXL1	AC106729.1	CORO2B	IRX5	AC024610.2	AC011450.1	H3F3B		AC015909.2	AL136040.2	METRN	NPIPA3	AC060766.6	WDR87	AC027808.2	AC005224.2
AC123768.4	IL2RG	FARP1	AC005363.2	CIPC	AC114546.1	SLFN11	CCDC62	AL117209.1	LRRC63	AL121852.1	SPRY2	AC144833.1	AC009558.1	FPR1	ASB2	P2RY8	ZNF276	AC090001.1	AL354809.1	TEX26	CR936218.1		AC090617.4	SULT1A1	AC104024.4	KIAA0513	SEZ6	AC005410.2	AC023389.1	SHBG	DACT3-AS1	AC132938.1		AC010624.5		RMI2	CHAD	AC011447.3	ZNF225	CATSPERG	ANKLE1	AC092329.4	PAF1	AC008555.2	DSCAM	HMSD	ZNF257	AC105094.2	POLR2I	WAS	ADRA1D		P2RX5	AC090772.1	KEAP1	LILRA4	LINC01534		AC005597.1	ZNF781	AC010336.3				BTBD17	PLIN5	CPAMD8	AC004943.2		AC092384.2	LINC00683	IDS	AC103876.1	AC036103.1	CCDC33	AC025284.1	AC087639.2	AC106738.1	AC004147.1	FLT3LG	RNF157-AS1		SGCA	STON2	LMF1-AS1	AC136431.1	AC060766.4	SPRED3	TMC3	TEKT3
ARHGAP11A	AL353804.2	AL445223.1	AC005606.1	TMEM63C	DPH6-DT	SLFN13	DNAH10	LBHD2	AL139801.1	COCH	AL590807.1	AC022613.2	AC022306.3	FPR3	AL133367.1	ARSD-AS1	AC130343.1	AC007298.2	HTR2A	B3GLCT	KANSL1-AS1		CTNS	AC009133.4	RASD1	GSE1	AC127024.6	AC005838.2	AC104982.2	AC005695.2	NPAS1	OGFOD3		KCNC3		AC099489.1	ANKFN1	ZNF486	AC011481.1	CCER2	MAP1S	LINC01224	SERTAD3	AC008555.4	SLC37A1	GTSCR1	AC005381.1	RNF152	AC092296.2	PLP2	PCNA		ATP2A3	TAF4B	TSPAN16	RDH13	CATSPERG		ZNF536	DPF1	SNAPC2				SLC9A3R1	PLIN3	AC020908.2	RFWD3		CPNE7	AC139100.2	CXorf40A	GOLGA6L4	STRC	NEIL1	AC092718.2	GLCE	MMP2-AS1	AC004147.5	ADM5	PRCD		EME1	KCNK10	SOX8	SYT17	SLFN12	RASGRP4	CPEB1-AS1	RASD1
AC123768.5	ITM2A	DOCK9	AC009065.2	AC007375.3	LINC02853	AC015849.4	AC068790.2	EXOC3L4	RUBCNL	AL049830.3	LINC00377	LINC02249	HDC	ZNF613	CLBA1	AC110995.1	AC090282.1	CFAP54	AL161421.1	AL138708.1	ARL17B		AC027796.4	DOC2A	AC069366.2	LINC00311	AC130324.3	RAI1-AS1	AC104984.2	AC015908.2	GRIN2D	HEXD-IT1		SYT3		LITAF	MSI2	ZNF66	EXOC3L2	DLL3	FCHO1	AC073534.2	DEDD2	ZNF792	HSF2BP	LINC01896	AC079466.2	HMSD	ZNF571-AS1	AC233976.1	MCM8		CAMTA2	KCTD1	SWSAP1	TNNI3	SPRED3		DPY19L3	DYRK1B	AC010336.5				MYO15B	UHRF1	HAUS8	AC009163.7		VPS9D1	HCN2	HMGB3	NTRK3	FRMD5	DNM1P35	CDH13	TLE3	CES5A	TMEM132E	FAM71E1	SNHG16		CHAD	CCDC88C	MSRB1	AC010494.1	SLFN13	MIA	AC048382.5	RAI1-AS1
GREM1	SRPX2	AL139035.2	PRSS27	TTC7B	AC018563.1	HEATR9	AC079949.1	TNFAIP2	AL356295.1	AL352984.1	SLITRK1	CHRFAM7A	GLDN	AC010320.4	TEDC1	AC006062.1	SPATA22	NEDD1	PHF11	DCLK1	AC002558.2		CAMKK1	GDPD3	AC061975.8	C16orf95	AC138207.7	FOXO3B	AC127024.4	DNAH9	AC022154.1	ADCYAP1		SHANK1		MYH11	AC015813.4	ZNF738	RTN2	SHKBP1	RAB3A	LINC00906	ZNF526	FXYD7	TSPEAR	SALL3	SLC7A10	AC100844.1	SPRED3	AC233976.2	SPTLC3		SLC52A1	DSC2	AC008758.2	SYT5	AC011455.6		PDCD5	CCDC97	AC010336.8				ITGB4	VMAC	TMEM221	VAT1L		SPIRE2	AC004528.1	VMA21	WDR93	AC025580.3	RASGRF1	AC099506.1	LINC02259	AC040168.1	RAD51D	SYT3	AC015802.6		TOB1	TC2N	SNHG19	CLEC19A	GAS2L2	CEACAM1	AC018946.1	LINC02076
RASGRP1	SYTL4	CLYBL	AC004034.1	UNC79	AC023908.3	RDM1	AC025160.1	AL161669.3	AL450423.2	EGLN3	LINC00351	GOLGA8H	AC023906.3	ERVV-1	AC026495.2	TLR7	TRPV3	AC007656.2	HNRNPA1L2	STOML3	MYL4		AC091153.2	SULT1A3	AC002094.4	AC092720.1	RAB11FIP4	FBXW10	AC138207.7	HS3ST3A1	FUT2	AP000829.1		KLK10		NPIPA9	AC025048.4	LINC00664	GIPR	AC008537.4	KLHL26	AC007786.4	AC006213.4	LSR	LINC00334	AC125437.3	CHST8	LINC00683	MRPS12	ALAS2	OVOL2		AC007846.1	AC015563.1	AC018761.2	AC010327.5	FBXO27		PDCD2L	DMAC2	ZGLP1				TRIM47	AC104532.2	MEF2B	WWOX		MC1R	PCSK4	CETN2	TTLL13P	AC025580.2	AC011944.1	AC125793.1	EDC3	AC106779.1	AC060766.4	AC018755.1	AFMID		CA10	PRIMA1	AC009065.8	AC002550.2	MMP28	PSG1	SV2B	FOXO3B
BUB1B	BHLHB9	AL137139.2	AC004233.1	FAM181A-AS1	SRP14-AS1	CCL15	TMEM132C	AL139300.2	AL354821.1	EGLN3-AS1	SOX21	OTUD7A	GCOM1	ZNF845	AC009878.1	PIGA	VMO1	ANKS1B	PCDH8	FAM216B	PHOSPHO1		CHRNE	ZNF768	SLC46A1	JPH3	COPRS	AC107982.2	OMG	AC005838.2	SLC6A16	LINC00470		ZNF534		SYT17	AC011921.1	ZNF100	IRF2BP1	DMAC2	CERS1	VSTM2B	ZNF222	AD000090.1	COL18A1	RBFADN	FXYD7	LINC01896	TTC9B	SPIN2B	MGME1		PITPNM3	CCDC178	AC092069.1	IL11	LRFN1		ZNF181	ZNF526	AP1M2				TRIM65	CAPS	NCAN	AC046158.1		GAS8	AC104530.1	PNMA5	AC018946.1	AC068722.1	CFAP161	AC009142.1	CPLX3	NUP93	PEX12	ZNF613	TMEM235		LINC01982	FAM181A-AS1	AC093525.6	IQCK	TBC1D3L	PSG4	AC015574.1	FBXW10
KNSTRN	PLS3	ZIC5	AC108134.2	AL133523.1	AC020658.5	EPOP	GLT1D1	LINC00637	PCDH17	AL121790.1	AL442067.3	CHRNA7	FAM81A	NLRP7	GOLGA6L7	SMS	AC233723.1	AC069437.1	AL442636.1	NRAD1	EME1		AC004771.4	ZNF688	SPAG5-AS1	MVD	LRRC37B	SLC47A2	AC005899.6	CDRT1	AC010624.3	AP000919.3		AC008440.1		AC002550.2	BRIP1	ZNF43	NOVA2	ZNF428	LINC00906	C19orf12	ZNF285	NPHS1	PCBP3	PARD6G-AS1	NPHS1	SALL3	C19orf47	AMER1	LINC00653		SLC16A13	ASXL3	NFIX	AC010525.1	AC011445.1		ZNF30	AC006213.2	TRMT1				FOXJ1	AC011444.1	HAPLN4	AC027279.1		AC133919.1	TLE2	PNMA3	LINC01197	AC023905.1	TMC3-AS1	AC009063.3	LINGO1-AS1	DOK4	GAS2L2	ZNF841	SOCS3		TMEM100	IFI27	PRSS27	DNAH3	TBC1D3D	LYPD5	CERS3-AS1	MFAP4
CHST14	APLN	AL355338.1	AC006111.3	BEGAIN	AC091045.1	AC006449.2	TMEM132D	TDRD9	LINC02338	LRFN5	DOCK9-DT	AC123768.1	GCNT3	TNNI3	AC174469.1	SAT1	INCA1	AC117377.1	DACH1	ERICH6B	NOG		SLC52A1	TMEM265	PIPOX	CTU2	AC116407.2	LINC01563	AC005899.7	TBC1D26	AC010624.1	DLGAP1-AS2		PRKCG		AC092338.2	MRC2	ZNF257	NPAS1	CADM4	AC005597.1	AC010504.1	AC243964.3	ZNF585A	AL133492.1	AC139100.2	KIRREL2	AC125437.3	SERTAD3	EDA	LINC01727		ASGR1	AC011815.1	ZSWIM4	ZFP28	SPTBN4		FXYD1	ZNF221	STX10				CCDC40	RFX2	LINC00664	LINC01229		AC016292.1	AC010649.1	ZNF275	AC104260.3	AC012050.1	AC060809.1	AC009063.2	CRABP1	KIFC3	AC243829.2	PRKCG	CEP295NL		TRIM25	LINC01550	ZNF200	AC092119.2	ERBB2	AC006213.4	AC087762.1	AC004448.2
KNL1	SMIM10	ZIC2	SRL	DIO3	RAD51-AS1	CDC6	AC130404.1	TMEM179	LINC00378	AL442163.1	UBAC2-AS1	GREM1	CILP	AC010327.5	APBA2	CXorf21	WSCD1	FAM71C	LINC00402	HTR2A	EPX		AC012146.1	AC106886.3	ANKRD13B	MC1R	RHBDL3	AC069366.2	AC005899.1	FAM106C	SYT3	DLGAP1-AS5		AC245884.9		LINC01567	AC005821.1	ZNF492	GRIN2D	ZNF221	ZNF536	PDCD2L	PVR	SPRED3	AJ011931.2	AC009005.1	ALKBH6	NFATC1	AC008537.4	PDZD11	LINC01726		ACAP1	PSTPIP2	NANOS3	AC005498.3	GRIK5		CD22	ZNF230	CACNA1A				AC087741.1	AC011444.2	ZNF98	ARLNC1		SLC43A2	CREB3L3	PDZD4	AC012409.2	FBN1	CPEB1	LINC00311	CHRNA3	AC092118.1	PIGW	CACNG7	LGALS3BP		SCPEP1	DIO3OS	ZNF597	VWA3A	AC090844.2	ZNF227	ALDH1A3	SLC47A1
AC022405.1	RTL8B	FGF14-IT1	SMIM22	LINC02320	AC091117.2	TOP2A	AC130404.2	AL583810.1	KLHL1	FSCB	GPR18	AC114546.2	AC093334.1	PPP6R1	AC127522.1	CYBB	AC004706.3	SLC17A8	AL353660.1	RB1-DT	AC005962.1		AC055839.2	FBXL19	AC127024.3	AC133919.1	AC005899.1	AC005697.2	ZNF830	RASD1	AC010325.1	AP005203.1		RDH13		AC145285.2	MARCH10	AC024563.1	GRWD1	ZNF225	AC011478.1	LINC01801	CEACAM19	CAPN12	AC016026.2	FSTL3	COX7A1	AC009005.1	ATP1A3	KIF4A	GINS1		FGF11	KATNAL2	C19orf57	SMIM17	POU2F2		RBM42	ZNF223	MISP3				RNF213-AS1	ACSBG2	ZNF492	CMC2		MIR22HG	MIR7-3HG	HCFC1	AC024337.1	AC022306.2	CPEB1-AS1	AC092377.1	RASGRF1	CNGB1	TBC1D3L	OSCAR	AC087741.2		CUEDC1	MOK	LINC01569	SDR42E2	WIPF2	CBLC	AC015712.2	AC025627.1
RAD51	Z96074.1	FGF14-AS1	ROGDI	AL118558.4	DUOX1	AC073508.3	AC117373.2	AHNAK2	ATXN8OS	AL133485.2	FGF14-AS2	AC021351.1	NOX5	ZNF628	FAM189A1	GPR34	SLC13A5	NR1H4	LINC00381	PHF11	AC099850.1		MED31	PRSS53	AC127024.6	DOC2B	ASIC2	SARM1	AC015849.4	AC020558.1	AC008750.4	AKAIN1		SYT5		AC145285.6	AC134407.1	ZNF730	AC022154.1	PPM1N	NUDT19	AC008555.1	BLOC1S3	PAK4	AC016027.2	GRIN3B	SPINT2	ABCA7	TRAPPC6A	HMGN5	ID1		CHRNB1	SKOR2	EPS15L1	MIMT1	LYPD5		NPHS1	ZNF225	SLC1A6				PCYT2	SLC25A41	AC024563.1	CENPN		RTN4RL1	AC011491.3	ATP6AP1	FAM169B	SLC27A2	AC024270.5	AC010531.5	AC011944.1	AC092125.2	TBC1D3D	TFPT	NPTX1		AC015813.4	TRMT61A	ABAT	LINC01567	FKBP10	AC011481.1	TARSL2	KCNJ12
AC020661.4	CDR1	LINC01309	AC026458.2	TDRD9	AC051619.6	BRCA1	AC055717.1	LINC02298	KLF5	AL358332.1	POGLUT2	AC109630.1	EWSAT1	ZNF524	AC107980.1	AC234772.2	NLGN2	MYBPC1	EDNRB	NEK5	SKA2		ALOX12	ARMC5	AC138207.7	C17orf97	AC008133.1	AC002094.4	AC244093.5	RAI1-AS1	AC011468.5	AP001496.4		AC006115.2		AC009133.1	CASC17	ZNF724	PPP1R15A	IRF2BP1	ZNF792	AC008555.2	GIPR	SPTBN4	TMEM191B	PCSK4	BLVRB	TMPRSS9	PPP1R13L	KLHL4	TPX2		DNAH2	AC051635.1	AC008764.8	ZNF530	RTN2		KIRREL2	ZNF180	AC020911.2				COLEC12	GPR108	AC139769.2	AC092718.2		RAP1GAP2	TNFSF9	UBL4A	AC036108.1	AC066613.2	SH3GL3	AC092720.1	ANKRD34C-AS1	CDH8	EPOP	AC245052.4	AC127496.5		TSPOAP1	GOLGA6L2	LINC02177	SULT1A2	KAT2A	IGFL2-AS1	RGS11	AC026254.2
OIP5	FMR1-IT1	EFNB2	CARHSP1	LINC02691	SHF	C17orf53	PIWIL1	AC012414.5	LMO7-AS1	FRMD6-AS2	AL355810.1	FSIP1	CELF6	ZNF865	AC022613.2	PRICKLE3	AC016876.3	CHPT1	LINC01069	CNMD	PRR11		SLC16A13	CES5A	CDK5R1	RFLNB	TMEM132E	SPAG5-AS1	AC006449.1	DRC3	AC011468.1	TMEM200C		ZIM2		PRRT2	AC007432.1	LINC01224	SCAF1	BICRA-AS1	LIN37	ZNF792	AC007785.1	MIA	TMEM191C	TMPRSS9	AC004784.1	STAP2	CD3EAP	AL022151.1	BPIFB4		CYB5D1	MIR4527HG	KCNN1	AC003682.1	PPM1N		ZNF565	PVR	MPV17L2				ENOSF1	AC130469.1	AC005394.1	AC092718.4		OR3A3	SH2D3A	SLC10A3	LUNAR1	CERNA1	AC016987.1	CA5A	AC015871.4	AC092125.1	NEUROD2	LILRA4	BAIAP2		PRR11	AC126407.1	AC012178.1	DOC2A	HCRT	AC007193.1	WFIKKN1	SPAG5
NUSAP1	GABRQ	AL138689.2	AC007014.1	LINC00638	AC051619.4	FZD2	AC095350.1	AC087490.1	LMO7	FRMD6	LINC00368	GPR176	RPP25	AC005261.2	LINC02249	MSN	AC135178.6	SYCP3	AL158064.1	OLFM4	AC011921.1		CHRNB1	DOK4	MYO1D	MIR22HG	RASL10B	AC024619.3	LINC00672	FBXW10	ZNF534	AP001021.3		PEG3		PAGR1	LINC02097	AC139769.2	PTOV1-AS1	CYTH2	ZNF781	AD000090.1	PNMA8A	ATP1A3	SGSM1	ZNF57	APOE	PLIN5	PNMA8A	RPA4	E2F1		ALOXE3	AC093567.1	PIK3R2	ZSCAN22	CCDC61		LINC00665	BLOC1S3	ZNF208				AP000919.3	ZNF846	CCNE1	AC099524.1		TRPV3	TEX45	MPP1	CERS3-AS1	RORA-AS1	AC020687.1	PABPN1L	AC109809.1	AC012174.1	RARA-AS1	ZNF628	AATK		AC005821.1	GABRG3	LINC01290	AC093512.2	AC067852.5	CCDC9	RHBDL1	AC010761.1
